2024-09-16 13:21:25 DEBUG config.ConfigKt - Cargando configuración DataBaseManager
2024-09-16 13:21:25 DEBUG config.ConfigKt - Configuración cargada correctamente
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Inicializando el gestor de Bases de Datos con SQLDelight
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Borrando tablas si existen
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Creando tablas
2024-09-16 13:21:25 DEBUG t.servicies.TenistasServiceImplKt - Cargando tenistas desde CSV
2024-09-16 13:21:25 DEBUG t.storage.TenistaStorageCSVKt - Carganado tenistas desde fichero Csv
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=1, nombre=Novak Djokovic, pais=Serbia, altura=188, peso=77, puntos=12030, mano=DIESTRO, fechaNacimiento=1987-05-22, created_at=2024-09-16T13:21:25.8905145, updated_at=2024-09-16T13:21:25.8905145)
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=2, nombre=Daniil Medvedev, pais=Rusia, altura=198, peso=83, puntos=10370, mano=DIESTRO, fechaNacimiento=1996-02-11, created_at=2024-09-16T13:21:25.8957241, updated_at=2024-09-16T13:21:25.8957241)
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=3, nombre=Rafael Nadal, pais=España, altura=185, peso=85, puntos=8270, mano=ZURDO, fechaNacimiento=1986-06-03, created_at=2024-09-16T13:21:25.8957241, updated_at=2024-09-16T13:21:25.8957241)
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=4, nombre=Dominic Thiem, pais=Austria, altura=185, peso=79, puntos=7425, mano=DIESTRO, fechaNacimiento=1993-09-03, created_at=2024-09-16T13:21:25.8957241, updated_at=2024-09-16T13:21:25.8957241)
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=5, nombre=Stefanos Tsitsipas, pais=Grecia, altura=193, peso=89, puntos=6595, mano=DIESTRO, fechaNacimiento=1998-08-12, created_at=2024-09-16T13:21:25.8957241, updated_at=2024-09-16T13:21:25.8957241)
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=6, nombre=Alexander Zverev, pais=Alemania, altura=198, peso=90, puntos=6125, mano=DIESTRO, fechaNacimiento=1997-04-20, created_at=2024-09-16T13:21:25.8971732, updated_at=2024-09-16T13:21:25.8971732)
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=7, nombre=Andrey Rublev, pais=Rusia, altura=188, peso=75, puntos=6000, mano=DIESTRO, fechaNacimiento=1997-10-20, created_at=2024-09-16T13:21:25.8971732, updated_at=2024-09-16T13:21:25.8971732)
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=8, nombre=Roger Federer, pais=Suiza, altura=185, peso=85, puntos=5875, mano=DIESTRO, fechaNacimiento=1981-08-08, created_at=2024-09-16T13:21:25.8971732, updated_at=2024-09-16T13:21:25.8971732)
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=9, nombre=Matteo Berrettini, pais=Italia, altura=196, peso=95, puntos=5058, mano=DIESTRO, fechaNacimiento=1996-04-12, created_at=2024-09-16T13:21:25.8971732, updated_at=2024-09-16T13:21:25.8971732)
2024-09-16 13:21:25 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=10, nombre=Diego Schwartzman, pais=Argentina, altura=170, peso=64, puntos=3665, mano=DIESTRO, fechaNacimiento=1992-08-16, created_at=2024-09-16T13:21:25.8971732, updated_at=2024-09-16T13:21:25.8971732)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=11, nombre=Roberto Bautista Agut, pais=España, altura=183, peso=75, puntos=3330, mano=DIESTRO, fechaNacimiento=1988-04-14, created_at=2024-09-16T13:21:25.8971732, updated_at=2024-09-16T13:21:25.8971732)
